cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,trn,trnipcoc,trnusgov,trnmuni,trncbo,trnfcfg,trnfc,trnfg
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","6/30/2015","8/19/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","3","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/15/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","60961","57301","0","3660","0","0","0","0"
"33785","15377","2713920","3063622","1919 Investment Counsel & Trust Company,  National Association","Baltimore","MD","21202","6/30/2015","8/19/2019","N","100 Light Street","STIFEL FINANCIAL CORP.","1","0","0","7","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","2/16/1993","9/29/1999","12/31/2015","Stock","0","1","OCC","DIF","New York","KANSAS CITY","St. Louis","Richmond","Northeastern","Southeast","0","0","http://www.stifeltrust.com/","0","0","0","0","0","0","0","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","6/30/2015","8/19/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","10429","10382","3","44","0","0","0","0"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","6/30/2015","8/19/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","3/5/2017","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","19687","19682","5","0","0","0","0","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2015","8/19/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","62509","54083","0","8426","0","0","0","0"
"30367","5236","148470","3848427","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2015","8/19/2019","SB","4301 Landis Avenue","SEA ISLE FINANCIAL CORP, MHC","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","61372","60528","0","844","0","0","0","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2015","8/19/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","8/6/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","97519","96264","0","1255","0","0","0","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2015","8/19/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","13242","12022","9","1211","0","0","0","0"
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","6/30/2015","8/19/2019","NM","5 Harris Court, Bldg N, # No","","5","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","8/11/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","188249","187244","0","1005","0","0","0","0"
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","6/30/2015","8/19/2019","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","6/30/2016","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","","67419","67419","0","0","0","0","0","0"
